file,vehicle_id,accel_time_lt_30_s,accel_time_30_50_s,accel_time_50_70_s,accel_time_gt_70_s,accel_total_time_s,accel_pct_lt_30,accel_pct_30_50,accel_pct_50_70,accel_pct_gt_70,motor0_time_above_0_8_s,motor0_time_above_0_9_s,motor0_time_above_1_0_s,motor1_time_above_0_8_s,motor1_time_above_0_9_s,motor1_time_above_1_0_s,motor2_time_above_0_8_s,motor2_time_above_0_9_s,motor2_time_above_1_0_s,motor3_time_above_0_8_s,motor3_time_above_0_9_s,motor3_time_above_1_0_s,peak_accel_events,accel_clipping_time_s,accel_clipping_events
20250826012256.ulg,EL-020,11.996129999999999,0.0,0.0,0.0,11.996129999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
20250826005732.ulg,EL-019,173.99028900000002,20.003949000000002,1.000704,1.001991,195.99693299999998,0.8877194471201242,0.1020625613565086,0.0051057125470427645,0.005112278976324595,0.080749,0.07444,0.054233,0.006302,0.00378,0.00378,0.00378,0.00378,0.00378,0.084518,0.066856,0.052987000000000006,0.0,0.0,2.0
20250826020332.ulg,EL-020,16.999109999999998,1.000823,0.0,0.0,17.999933,0.9443985152611402,0.05560148473885987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250826020444.ulg,EL-020,59.00202399999999,6.000173,0.0,0.0,65.002197,0.9076927661383506,0.09230723386164934,0.0,0.0,0.0,0.0,0.0,0.047140999999999995,0.035971,0.027296,0.068215,0.047123,0.044647,0.0,0.0,0.0,0.0,0.0,0.0
20250828020444.ulg,EL-020,2.999298,0.0,0.0,0.0,2.999298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250828020520.ulg,EL-020,19.001102,9.996944,0.0,0.0,28.998046,0.6552545643937526,0.3447454356062474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013133208.ulg,EL-019,150.98883800000004,60.01133,7.99809,0.0,218.99825800000002,0.6894522329944744,0.2740265175990578,0.03652124940646788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014802,0.0,0.0,0.135791,0.04813900000000001,0.00988,0.0,0.0,0.0
20250828015852.ulg,EL-020,40.007962000000006,14.992606000000002,1.000167,0.997676,56.998411,0.7019136375573699,0.2630355081302179,0.017547278642557246,0.017503575669855078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250828020004.ulg,EL-020,25.997215,0.0,0.0,0.0,25.997215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250828021354.ulg,EL-020,135.003713,37.995193,11.003642000000001,3.995462,187.99800999999997,0.7181124576797384,0.202104229720304,0.058530630191245124,0.021252682408712732,0.002461,0.0,0.0,0.016097,0.002484,0.0,0.054499000000000006,0.013616,0.002484,0.0,0.0,0.0,0.0,0.0,0.0
20250826021132.ulg,EL-020,284.023196,53.982648999999995,1.994492,0.0,340.00033699999994,0.8353615131857943,0.15877233968741628,0.0058661471267894665,0.0,0.0,0.0,0.0,0.032267,0.007442,0.007442,0.023557,0.0186,0.007442,0.0,0.0,0.0,0.0,0.0,0.0
20250829031354.ulg,EL-022,38.000029000000005,0.0,0.0,0.0,38.000029000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250902031540.ulg,EL-022,2.998801,0.0,0.0,0.0,2.998801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250902031700.ulg,EL-022,3.00014,0.0,0.0,0.0,3.00014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250828021030.ulg,EL-020,114.011489,62.992375,12.000713,0.996464,190.00104100000004,0.6000571807393411,0.3315369993157037,0.06316130131097543,0.005244518633979484,0.0,0.0,0.0,0.0061860000000000005,0.0,0.0,0.017313,0.013604,0.003714,0.0,0.0,0.0,0.0,0.0,0.0
20250902032406.ulg,EL-022,4.0006260000000005,0.0,0.0,0.0,4.0006260000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250828022428.ulg,EL-020,121.002034,47.004993,12.995010999999998,3.99752,184.999558,0.6540666113375254,0.2540816502923753,0.07024347052764308,0.021608267842456143,0.0,0.0,0.0,0.00742,0.0,0.0,4.444227,0.19675499999999999,0.00371,0.003717,0.0,0.0,0.0,0.0,0.0
20250828022104.ulg,EL-020,210.013261,96.980353,34.00148000000001,9.006501,350.00159499999995,0.600035154125512,0.2770854601391174,0.0971466430031555,0.025732742732215267,0.013545999999999999,0.0,0.0,0.4021490000000001,0.035894,0.011139,4.878304,0.26965500000000003,0.04826199999999999,0.017328,0.0,0.0,0.0,0.0,0.0
20250902032256.ulg,EL-022,48.999295999999994,0.0,0.0,0.0,48.999295999999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9385829999999995,0.0,0.0,0.0,0.0,0.0,41.444606,39.436153000000004,37.624686,0.0,0.0,0.0
20250911185418.ulg,EL-022,143.994122,59.00397099999999,11.005159,1.994792,215.998044,0.6666454905489793,0.2731690061045182,0.050950271568199944,0.009235231778302586,0.0,0.0,0.0,0.07800199999999999,0.007418,0.0,0.011134,0.003713,0.0,0.148618,0.024780999999999997,0.007444,0.0,0.0,0.0
20251009174348.ulg,EL-020,35.99710599999999,30.008391000000003,3.995,2.0012499999999998,72.001747,0.49994767488072184,0.4167730957972451,0.055484764834942135,0.027794464487090848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250911195028.ulg,EL-022,180.99989699999998,85.00078599999999,9.001688,1.000486,276.002857,0.6557899398845715,0.30797067437602643,0.03261447398712978,0.0036249117522721874,0.018553,0.0,0.0,0.02351,0.0,0.0,0.0,0.0,0.0,0.028501,0.003709,0.0,0.0,0.0,0.0
20250830012928.ulg,EL-022,127.99917400000001,9.998352,0.0,0.0,137.99752599999997,0.9275468750070204,0.07245312499297997,0.0,0.0,0.013592,0.007431999999999999,0.007431999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.003721,0.0,0.0,0.0,0.0
20250911201152.ulg,EL-022,124.00345,49.990066999999996,8.004529999999999,2.003603,184.00165,0.6739257501223495,0.27168271045395515,0.04350249033092909,0.010889049092766287,0.038405,0.0,0.0,0.028453,0.0,0.0,0.003711,0.0,0.0,0.137468,0.034679,0.006191,0.0,0.0,0.0
